document,frequency_in_document,element,element_orig,anomaly
2006,4.774049198215543e-05,27,Protein-energy malnutrition,1
2006,0.0001913623593923,28,Road injuries ,1
2006,0.0001229162539494,29,Self-harm,1
2006,0.0002263704934151,30,Tuberculosis,1
2007,1.7970915518517675e-05,0,Acute hepatitis,1
2007,2.5948014519012104e-05,1,Alcohol use disorders,1
2007,0.0001524105483446,2,Alzheimer's disease and other dementias,1
2007,0.0022543220039146,3,Cardiovascular diseases,-1
2007,0.0001506589686373,4,Chronic kidney disease,1
2007,0.0005170646594217,5,Chronic respiratory diseases,1
2007,0.0001956433709214,6,Cirrhosis and other chronic liver diseases,1
2007,1.0630266559787e-05,7,Conflict and terrorism,1
2007,0.0001629564122044,8,Diabetes mellitus,1
2007,0.0003096292172836,9,Diarrheal diseases,1
2007,0.0003357303794579,10,Digestive diseases,1
2007,4.650931749663901e-05,11,Drowning,1
2007,1.2818771904895917e-05,12,Drug use disorders,1
2007,8.916116318438748e-06,13,Environmental heat and cold exposure,1
2007,2.4157663253450807e-06,14,Exposure to forces of nature,1
2007,1.7834916821683435e-05,15,"Fire, heat, and hot substances",1
2007,0.0002489292112034,16,HIV/AIDS,1
2007,6.263470683969552e-05,17,Interpersonal violence,1
2007,0.0003902836023324,18,Lower respiratory infections,1
2007,0.0001402028758472,19,Malaria,1
2007,3.766075316248305e-05,20,Maternal disorders,1
2007,5.260211876336426e-05,21,Meningitis,1
2007,0.0003801378311301,22,Neonatal disorders,1
2007,0.0011707079487171,23,Neoplasms,1
2007,5.180581060426904e-05,24,Nutritional deficiencies,1
2007,3.735117718153143e-05,25,Parkinson's disease,1
2007,1.3193513928080618e-05,26,Poisonings,1
2007,4.504777886980523e-05,27,Protein-energy malnutrition,1
2007,0.0001898789349293,28,Road injuries ,1
2007,0.0001196730374803,29,Self-harm,1
2007,0.0002192258730195,30,Tuberculosis,1
2008,1.727374695249341e-05,0,Acute hepatitis,1
2008,2.5277766713209796e-05,1,Alcohol use disorders,1
2008,0.0001569131070856,2,Alzheimer's disease and other dementias,1
2008,0.002268650582185,3,Cardiovascular diseases,-1
2008,0.0001540328972512,4,Chronic kidney disease,1
2008,0.0005170347836578,5,Chronic respiratory diseases,1
2008,0.0001959862452148,6,Cirrhosis and other chronic liver diseases,1
2008,9.5292612885452e-06,7,Conflict and terrorism,1
2008,0.0001653074590576,8,Diabetes mellitus,1
2008,0.0003011846058538,9,Diarrheal diseases,1
2008,0.0003358433076153,10,Digestive diseases,1
2008,4.49058797285536e-05,11,Drowning,1
2008,1.2826021875301808e-05,12,Drug use disorders,1
2008,8.50821114166839e-06,13,Environmental heat and cold exposure,1
2008,3.4724984589780035e-05,14,Exposure to forces of nature,1
2008,1.7420452945899255e-05,15,"Fire, heat, and hot substances",1
2008,0.0002297066767172,16,HIV/AIDS,1
2008,6.227639961043219e-05,17,Interpersonal violence,1
2008,0.0003834276027897,18,Lower respiratory infections,1
2008,0.0001374131408717,19,Malaria,1
2008,3.65143263647742e-05,20,Maternal disorders,1
2008,5.058882213576669e-05,21,Meningitis,1
2008,0.0003705610747415,22,Neonatal disorders,1
2008,0.0011823638445838,23,Neoplasms,1
2008,4.943564821772016e-05,24,Nutritional deficiencies,1
2008,3.835301202309261e-05,25,Parkinson's disease,1
2008,1.3063167105606432e-05,26,Poisonings,1
2008,4.281723415978367e-05,27,Protein-energy malnutrition,1
2008,0.0001891760528402,28,Road injuries ,1
2008,0.0001174782120087,29,Self-harm,1
2008,0.0002132121212357,30,Tuberculosis,1
2009,1.638975953582485e-05,0,Acute hepatitis,1
2009,2.4260388536928998e-05,1,Alcohol use disorders,1
2009,0.0001614204271711,2,Alzheimer's disease and other dementias,1
2009,0.0022629233305229,3,Cardiovascular diseases,-1
2009,0.0001562759199411,4,Chronic kidney disease,1
2009,0.0005089836382732,5,Chronic respiratory diseases,1
2009,0.0001935767620228,6,Cirrhosis and other chronic liver diseases,1
2009,1.04153100245325e-05,7,Conflict and terrorism,1
2009,0.0001662199496275,8,Diabetes mellitus,1
2009,0.0002876931479336,9,Diarrheal diseases,1
2009,0.0003317158822859,10,Digestive diseases,1
2009,4.319526560158962e-05,11,Drowning,1
2009,1.2662294360103671e-05,12,Drug use disorders,1
2009,7.978591338538177e-06,13,Environmental heat and cold exposure,1
2009,1.5968822821274092e-06,14,Exposure to forces of nature,1
2009,1.690396290576e-05,15,"Fire, heat, and hot substances",1
2009,0.0002114516584564,16,HIV/AIDS,1
2009,6.15108869949305e-05,17,Interpersonal violence,1
2009,0.0003741440623848,18,Lower respiratory infections,1
2009,0.0001335409723013,19,Malaria,1
2009,3.5527902618538506e-05,20,Maternal disorders,1
2009,4.901490119505204e-05,21,Meningitis,1
2009,0.0003601265642365,22,Neonatal disorders,1
2009,0.0011884063419403,23,Neoplasms,-1
2009,4.697947648027478e-05,24,Nutritional deficiencies,1
2009,3.8956361590180254e-05,25,Parkinson's disease,1
2009,1.2789899440871393e-05,26,Poisonings,1
2009,4.064229097542037e-05,27,Protein-energy malnutrition,1
2009,0.0001864851496721,28,Road injuries ,1
2009,0.0001143473930319,29,Self-harm,1
2009,0.0002045014738578,30,Tuberculosis,1
2010,1.5747991648481073e-05,0,Acute hepatitis,1
2010,2.361896885370833e-05,1,Alcohol use disorders,1
2010,0.0001661597398418,2,Alzheimer's disease and other dementias,1
2010,0.0022766354163658,3,Cardiovascular diseases,-1
2010,0.0001591923359279,4,Chronic kidney disease,1
2010,0.0005045291070031,5,Chronic respiratory diseases,1
2010,0.0001927178374081,6,Cirrhosis and other chronic liver diseases,1
2010,7.829291514091592e-06,7,Conflict and terrorism,1
2010,0.0001675567854699,8,Diabetes mellitus,1
2010,0.0002772391697797,9,Diarrheal diseases,1
2010,0.0003303690205698,10,Digestive diseases,1
2010,4.180514220233852e-05,11,Drowning,1
2010,1.2660806860478334e-05,12,Drug use disorders,1
2010,8.434021523083887e-06,13,Environmental heat and cold exposure,1
2010,3.4642534258892577e-05,14,Exposure to forces of nature,1
2010,1.657782438960599e-05,15,"Fire, heat, and hot substances",1
2010,0.0001961554694891,16,HIV/AIDS,1
2010,6.000568992722238e-05,17,Interpersonal violence,1
2010,0.0003659172842764,18,Lower respiratory infections,1
2010,0.0001307800875686,19,Malaria,1
2010,3.4462423324433975e-05,20,Maternal disorders,1
2010,4.697229923424867e-05,21,Meningitis,1
2010,0.0003491448308323,22,Neonatal disorders,1
2010,0.0011972831963725,23,Neoplasms,-1
2010,4.631237162044225e-05,24,Nutritional deficiencies,1
2010,3.970030228751223e-05,25,Parkinson's disease,1
2010,1.2596553398624386e-05,26,Poisonings,1
2010,4.0125208849571e-05,27,Protein-energy malnutrition,1
2010,0.0001838251295387,28,Road injuries ,1
2010,0.0001127606569845,29,Self-harm,1
2010,0.0001962018987244,30,Tuberculosis,1
2011,1.5132234028092048e-05,0,Acute hepatitis,1
2011,2.2918271120153824e-05,1,Alcohol use disorders,1
2011,0.0001705872539022,2,Alzheimer's disease and other dementias,1
2011,0.0022777759445897,3,Cardiovascular diseases,-1
2011,0.0001623615186755,4,Chronic kidney disease,1
2011,0.0005026373153056,5,Chronic respiratory diseases,1
2011,0.0001915697738675,6,Cirrhosis and other chronic liver diseases,1
2011,8.93314362750462e-06,7,Conflict and terrorism,1
2011,0.0001701408807636,8,Diabetes mellitus,1
2011,0.0002702328495223,9,Diarrheal diseases,1
2011,0.0003289902111735,10,Digestive diseases,1
2011,3.992305679734998e-05,11,Drowning,1
2011,1.2685632036501872e-05,12,Drug use disorders,1
2011,7.333699056233444e-06,13,Environmental heat and cold exposure,1
2011,4.523380358283341e-06,14,Exposure to forces of nature,1
2011,1.6141437821685814e-05,15,"Fire, heat, and hot substances",1
2011,0.000182315519942,16,HIV/AIDS,1
2011,5.877980102625775e-05,17,Interpersonal violence,1
2011,0.0003590156572786,18,Lower respiratory infections,1
2011,0.0001233546416801,19,Malaria,1
2011,3.332801084138127e-05,20,Maternal disorders,1
2011,4.441476639205727e-05,21,Meningitis,1
2011,0.0003385312062275,22,Neonatal disorders,1
2011,0.0012027495106614,23,Neoplasms,1
2011,4.464114844201343e-05,24,Nutritional deficiencies,1
2011,4.0403373041359846e-05,25,Parkinson's disease,1
2011,1.222789718894309e-05,26,Poisonings,1
2011,3.856107194221851e-05,27,Protein-energy malnutrition,1
2011,0.0001800457345453,28,Road injuries ,1
2011,0.0001103815584082,29,Self-harm,1
2011,0.0001891294208158,30,Tuberculosis,1
2012,1.4677452098763867e-05,0,Acute hepatitis,1
2012,2.2366663730918966e-05,1,Alcohol use disorders,1
2012,0.0001750694781955,2,Alzheimer's disease and other dementias,1
2012,0.0022797691532118,3,Cardiovascular diseases,-1
2012,0.0001650748502855,4,Chronic kidney disease,1
2012,0.0004993491241352,5,Chronic respiratory diseases,1
2012,0.0001900632444098,6,Cirrhosis and other chronic liver diseases,1
2012,1.5758870277282395e-05,7,Conflict and terrorism,1
2012,0.0001735385683967,8,Diabetes mellitus,1
2012,0.000257481514402,9,Diarrheal diseases,1
2012,0.0003269054460355,10,Digestive diseases,1
2012,3.867410183325053e-05,11,Drowning,1
2012,1.27611835771352e-05,12,Drug use disorders,1
2012,7.215722800813092e-06,13,Environmental heat and cold exposure,1
2012,1.2572573918177389e-06,14,Exposure to forces of nature,1
2012,1.573010169090862e-05,15,"Fire, heat, and hot substances",1
2012,0.0001682187656052,16,HIV/AIDS,1
2012,5.861690691125333e-05,17,Interpersonal violence,1
2012,0.0003544922750149,18,Lower respiratory infections,1
2012,0.0001131353427735,19,Malaria,1
2012,3.188078608114504e-05,20,Maternal disorders,1
2012,4.211314074874172e-05,21,Meningitis,1
2012,0.0003283799413381,22,Neonatal disorders,1
2012,0.0012085545607745,23,Neoplasms,-1
2012,4.183612031214743e-05,24,Nutritional deficiencies,1
2012,4.113528948116877e-05,25,Parkinson's disease,1
2012,1.1871602752631056e-05,26,Poisonings,1
2012,3.586123575873387e-05,27,Protein-energy malnutrition,1
2012,0.00017618303299,28,Road injuries ,1
2012,0.0001076394200995,29,Self-harm,1
2012,0.0001849887464426,30,Tuberculosis,1
2013,1.3715675146496664e-05,0,Acute hepatitis,1
2013,2.202984454357724e-05,1,Alcohol use disorders,1
2013,0.0001795556869486,2,Alzheimer's disease and other dementias,1
2013,0.0022869240034835,3,Cardiovascular diseases,-1
2013,0.0001683895979605,4,Chronic kidney disease,1
2013,0.0005007645724046,5,Chronic respiratory diseases,1
2013,0.000188493107009,6,Cirrhosis and other chronic liver diseases,1
2013,1.627663347988265e-05,7,Conflict and terrorism,1
2013,0.0001771582383019,8,Diabetes mellitus,1
2013,0.0002479801222635,9,Diarrheal diseases,1
2013,0.000325766076555,10,Digestive diseases,1
2013,3.700491872751992e-05,11,Drowning,1
2013,1.3114336722714488e-05,12,Drug use disorders,1
2013,6.865326566533442e-06,13,Environmental heat and cold exposure,1
2013,3.7314602468365303e-06,14,Exposure to forces of nature,1
2013,1.5507486132489677e-05,15,"Fire, heat, and hot substances",1
2013,0.0001561865607725,16,HIV/AIDS,1
2013,5.764028498439749e-05,17,Interpersonal violence,1
2013,0.0003518491306865,18,Lower respiratory infections,1
2013,0.0001042601002945,19,Malaria,1
2013,3.0992366600063183e-05,20,Maternal disorders,1
2013,4.014960248196199e-05,21,Meningitis,1
2013,0.0003188845238363,22,Neonatal disorders,1
2013,0.0012145015519063,23,Neoplasms,-1
2013,4.041989966553013e-05,24,Nutritional deficiencies,1
2013,4.208925174280551e-05,25,Parkinson's disease,1
2013,1.1596567416932171e-05,26,Poisonings,1
2013,3.459290814947112e-05,27,Protein-energy malnutrition,1
2013,0.0001708906443476,28,Road injuries ,1
2013,0.0001047859940452,29,Self-harm,1
2013,0.0001813286367663,30,Tuberculosis,1
2014,1.2726703155607536e-05,0,Acute hepatitis,1
2014,2.183477055694846e-05,1,Alcohol use disorders,1
2014,0.0001841949886969,2,Alzheimer's disease and other dementias,1
2014,0.0022913151152516,3,Cardiovascular diseases,-1
2014,0.0001709840005259,4,Chronic kidney disease,1
2014,0.0005005493430802,5,Chronic respiratory diseases,1
2014,0.0001868880958852,6,Cirrhosis and other chronic liver diseases,1
2014,2.5761687375321497e-05,7,Conflict and terrorism,1
2014,0.0001810219828845,8,Diabetes mellitus,1
2014,0.0002365488992267,9,Diarrheal diseases,1
2014,0.0003240532935769,10,Digestive diseases,1
2014,3.5432309461897096e-05,11,Drowning,1
2014,1.3610835153600624e-05,12,Drug use disorders,1
2014,6.685819876296596e-06,13,Environmental heat and cold exposure,1
2014,1.0159978866860148e-06,14,Exposure to forces of nature,1
2014,1.509220174310626e-05,15,"Fire, heat, and hot substances",1
2014,0.0001470770713002,16,HIV/AIDS,1
2014,5.666271754145772e-05,17,Interpersonal violence,1
2014,0.0003470874680071,18,Lower respiratory infections,1
2014,9.928651555261211e-05,19,Malaria,1
2014,2.945475470709357e-05,20,Maternal disorders,1
2014,3.844096267491266e-05,21,Meningitis,1
2014,0.0003067008666377,22,Neonatal disorders,1
2014,0.0012227489331605,23,Neoplasms,-1
2014,3.9008452050368685e-05,24,Nutritional deficiencies,1
2014,4.289452059968716e-05,25,Parkinson's disease,1
2014,1.1236837932942896e-05,26,Poisonings,1
2014,3.330312770611001e-05,27,Protein-energy malnutrition,1
2014,0.0001664072124204,28,Road injuries ,1
2014,0.000102086541029,29,Self-harm,1
2014,0.0001774865514904,30,Tuberculosis,1
2015,1.2026075829507974e-05,0,Acute hepatitis,1
2015,2.1777427884932e-05,1,Alcohol use disorders,1
2015,0.0001890217269832,2,Alzheimer's disease and other dementias,1
2015,0.0023157421102656,3,Cardiovascular diseases,-1
2015,0.0001743862298326,4,Chronic kidney disease,1
2015,0.0005001366474553,5,Chronic respiratory diseases,1
2015,0.0001876673537109,6,Cirrhosis and other chronic liver diseases,1
2015,2.263341347383343e-05,7,Conflict and terrorism,1
2015,0.0001851134894725,8,Diabetes mellitus,1
2015,0.0002275188556507,9,Diarrheal diseases,1
2015,0.0003258066522307,10,Digestive diseases,1
2015,3.4450404965257675e-05,11,Drowning,1
2015,1.4282370912743324e-05,12,Drug use disorders,1
2015,7.000869946270755e-06,13,Environmental heat and cold exposure,1
2015,2.1115756580419466e-06,14,Exposure to forces of nature,1
2015,1.4928188122922872e-05,15,"Fire, heat, and hot substances",1
2015,0.0001395251089706,16,HIV/AIDS,1
2015,5.641916602282365e-05,17,Interpersonal violence,1
2015,0.0003432435814005,18,Lower respiratory infections,1
2015,9.524516551890548e-05,19,Malaria,1
2015,2.8246033877869718e-05,20,Maternal disorders,1
2015,3.628676980628858e-05,21,Meningitis,1
2015,0.0002958269663623,22,Neonatal disorders,1
2015,0.0012376513646603,23,Neoplasms,-1
2015,3.777786770406779e-05,24,Nutritional deficiencies,1
2015,4.36030955782618e-05,25,Parkinson's disease,1
2015,1.0972388329223422e-05,26,Poisonings,1
2015,3.2212674077950693e-05,27,Protein-energy malnutrition,1
2015,0.000162798241926,28,Road injuries ,1
2015,0.0001006325764803,29,Self-harm,1
2015,0.0001717602768918,30,Tuberculosis,1
2016,1.1351252641509982e-05,0,Acute hepatitis,1
2016,2.171041282249567e-05,1,Alcohol use disorders,1
2016,0.0001945117512339,2,Alzheimer's disease and other dementias,1
2016,0.0023310098611419,3,Cardiovascular diseases,-1
2016,0.0001775187682058,4,Chronic kidney disease,1
2016,0.0005011767081397,5,Chronic respiratory diseases,1
2016,0.0001881202910149,6,Cirrhosis and other chronic liver diseases,1
2016,2.16554826525004e-05,7,Conflict and terrorism,1
2016,0.0001892941889405,8,Diabetes mellitus,1
2016,0.0002196973681528,9,Diarrheal diseases,1
2016,0.0003268544738994,10,Digestive diseases,1
2016,3.333470860168945e-05,11,Drowning,1
2016,1.512254375174609e-05,12,Drug use disorders,1
2016,6.363191277866494e-06,13,Environmental heat and cold exposure,1
2016,1.1618400834121117e-06,14,Exposure to forces of nature,1
2016,1.4715926517756728e-05,15,"Fire, heat, and hot substances",1
2016,0.0001334532499315,16,HIV/AIDS,1
2016,5.526511005621495e-05,17,Interpersonal violence,1
2016,0.0003371017641001,18,Lower respiratory infections,1
2016,8.847294336281777e-05,19,Malaria,1
2016,2.7295873278843792e-05,20,Maternal disorders,1
2016,3.500070046483862e-05,21,Meningitis,1
2016,0.0002812262592768,22,Neonatal disorders,1
2016,0.0012509199381653,23,Neoplasms,-1
2016,3.660104407604223e-05,24,Nutritional deficiencies,1
2016,4.4310694398914686e-05,25,Parkinson's disease,1
2016,1.0711517125101676e-05,26,Poisonings,1
2016,3.115532061312109e-05,27,Protein-energy malnutrition,1
2016,0.0001599078877533,28,Road injuries ,1
2016,9.953413791154784e-05,29,Self-harm,1
2016,0.0001674062578857,30,Tuberculosis,1
2017,1.0926542324053838e-05,0,Acute hepatitis,1
2017,2.154240051591849e-05,1,Alcohol use disorders,1
2017,0.0002000098325897,2,Alzheimer's disease and other dementias,1
2017,0.0023431664761805,3,Cardiovascular diseases,-1
2017,0.0001790373950318,4,Chronic kidney disease,1
2017,0.0005029169248814,5,Chronic respiratory diseases,1
2017,0.0001889219199999,6,Cirrhosis and other chronic liver diseases,1
2017,1.7321070955231188e-05,7,Conflict and terrorism,1
2017,0.0001927276350094,8,Diabetes mellitus,1
2017,0.0002162445027415,9,Diarrheal diseases,1
2017,0.0003283088654177,10,Digestive diseases,1
2017,3.204113940166151e-05,11,Drowning,1
2017,1.5676498617122736e-05,12,Drug use disorders,1
2017,6.131010192403669e-06,13,Environmental heat and cold exposure,1
2017,1.763281499064319e-06,14,Exposure to forces of nature,1
2017,1.4463041914896416e-05,15,"Fire, heat, and hot substances",1
2017,0.0001254668389287,16,HIV/AIDS,1
2017,5.526640125961284e-05,17,Interpersonal violence,1
2017,0.000329619038289,18,Lower respiratory infections,1
2017,8.342140549480394e-05,19,Malaria,1
2017,2.6391192784515377e-05,20,Maternal disorders,1
2017,3.3139464116308986e-05,21,Meningitis,1
2017,0.0002669493455059,22,Neonatal disorders,1
2017,0.001262542277842,23,Neoplasms,-1
2017,3.5435611960646175e-05,24,Nutritional deficiencies,1
2017,4.495884241768602e-05,25,Parkinson's disease,1
2017,1.039818056747795e-05,26,Poisonings,1
2017,3.007978848783266e-05,27,Protein-energy malnutrition,1
2017,0.0001574328576895,28,Road injuries ,1
2017,9.85206543191982e-05,29,Self-harm,1
2017,0.0001631838925765,30,Tuberculosis,1
2018,1.0600581171942092e-05,0,Acute hepatitis,1
2018,2.168261381402678e-05,1,Alcohol use disorders,1
2018,0.0002055560589931,2,Alzheimer's disease and other dementias,1
2018,0.0023736985845211,3,Cardiovascular diseases,-1
2018,0.0001818439843957,4,Chronic kidney disease,1
2018,0.0005093160309092,5,Chronic respiratory diseases,1
2018,0.0001897043283079,6,Cirrhosis and other chronic liver diseases,1
2018,1.355074909445714e-05,7,Conflict and terrorism,1
2018,0.0001967782840132,8,Diabetes mellitus,1
2018,0.0002067794751404,9,Diarrheal diseases,1
2018,0.0003296007067424,10,Digestive diseases,1
2018,3.1485143964420586e-05,11,Drowning,1
2018,1.61307209355479e-05,12,Drug use disorders,1
2018,6.063615249438827e-06,13,Environmental heat and cold exposure,1
2018,1.4522169820686612e-06,14,Exposure to forces of nature,1
2018,1.4498844191485363e-05,15,"Fire, heat, and hot substances",1
2018,0.000116934917343,16,HIV/AIDS,1
2018,5.493958829771739e-05,17,Interpersonal violence,1
2018,0.0003258299484263,18,Lower respiratory infections,1
2018,8.276247743468148e-05,19,Malaria,1
2018,2.59555283722575e-05,20,Maternal disorders,1
2018,3.166860396937422e-05,21,Meningitis,1
2018,0.000254531100444,22,Neonatal disorders,1
2018,0.0012831399794176,23,Neoplasms,-1
2018,3.382137608464438e-05,24,Nutritional deficiencies,1
2018,4.603823990022795e-05,25,Parkinson's disease,1
2018,1.0195789775297976e-05,26,Poisonings,1
2018,2.8596435143565e-05,27,Protein-energy malnutrition,1
2018,0.0001567166469029,28,Road injuries ,1
2018,9.895374017186408e-05,29,Self-harm,1
2018,0.0001578956395205,30,Tuberculosis,1
2019,1.0254660935202417e-05,0,Acute hepatitis,1
2019,2.175169428651685e-05,1,Alcohol use disorders,1
2019,0.000210125585403,2,Alzheimer's disease and other dementias,1
2019,0.0024016535441431,3,Cardiovascular diseases,-1
2019,0.0001846121590883,4,Chronic kidney disease,1
2019,0.0005147806341482,5,Chronic respiratory diseases,-1
2019,0.0001903427849789,6,Cirrhosis and other chronic liver diseases,1
2019,8.158716570047137e-06,7,Conflict and terrorism,1
2019,0.0002005100662826,8,Diabetes mellitus,1
2019,0.0001987716783323,9,Diarrheal diseases,1
2019,0.0003308879957641,10,Digestive diseases,1
2019,3.069306788213722e-05,11,Drowning,1
2019,1.6593703161876045e-05,12,Drug use disorders,1
2019,6.14924433277944e-06,13,Environmental heat and cold exposure,1
2019,7.871945435283514e-07,14,Exposure to forces of nature,1
2019,1.4397544471597671e-05,15,"Fire, heat, and hot substances",1
2019,0.0001117129141948,16,HIV/AIDS,1
2019,5.34343300129808e-05,17,Interpersonal violence,1
2019,0.0003227422435311,18,Lower respiratory infections,1
2019,8.338609710462147e-05,19,Malaria,1
2019,2.5419823801436347e-05,20,Maternal disorders,1
2019,3.057859278629803e-05,21,Meningitis,1
2019,0.0002434786759538,22,Neonatal disorders,1
2019,0.0013046617772361,23,Neoplasms,-1
2019,3.253361480810428e-05,24,Nutritional deficiencies,1
2019,4.696408869571912e-05,25,Parkinson's disease,1
2019,9.993040614247175e-06,26,Poisonings,1
2019,2.74395378649456e-05,27,Protein-energy malnutrition,1
2019,0.0001549117704914,28,Road injuries ,1
2019,9.827304529852144e-05,29,Self-harm,1
2019,0.0001527825077801,30,Tuberculosis,1
